model,year,transmission,mileage,fuelType,tax,mpg,engineSize,make,price
Polo,2017,Manual,36874,Petrol,20.0,60.1,1.2,vw,10250
Fabia,2016,Manual,39386,Petrol,20.0,60.1,1.2,skoda,8250
Grandland X,2018,Automatic,8935,Diesel,145.0,57.7,1.5,vauxhall,16299
Fiesta,2016,Manual,18606,Petrol,20.0,62.8,1.0,ford,10199
Octavia,2015,Manual,26000,Diesel,30.0,61.4,2.0,skoda,12790
Corolla,2020,Automatic,1879,Hybrid,135.0,53.3,2.0,toyota,26490
Galaxy,2016,Manual,22000,Diesel,125.0,56.5,2.0,ford,15750
Polo,2017,Manual,26199,Petrol,145.0,60.1,1.2,vw,10746
1 Series,2019,Manual,10374,Petrol,145.0,53.3,1.5,bmw,15199
Viva,2016,Manual,23938,Petrol,20.0,62.8,1.0,vauxhall,5397
C Class,2016,Automatic,29000,Diesel,125.0,60.1,2.1,mercedes,19995
Mondeo,2015,Manual,86388,Diesel,30.0,64.2,2.0,ford,8999
Octavia,2019,Semi-Auto,10925,Diesel,150.0,70.6,1.6,skoda,14995
Focus,2015,Manual,35938,Petrol,20.0,61.4,1.0,ford,8682
Grand C-MAX,2017,Manual,11373,Petrol,30.0,54.3,1.0,ford,11891
Polo,2020,Manual,5000,Petrol,145.0,47.9,1.0,vw,13999
Kona,2018,Manual,20555,Petrol,145.0,52.3,1.0,hyundai,11750
Golf,2016,Semi-Auto,38123,Diesel,30.0,62.8,2.0,vw,15995
Astra,2020,Manual,10,Petrol,145.0,54.3,1.2,vauxhall,16850
EcoSport,2018,Manual,59498,Diesel,145.0,68.9,1.5,ford,10498
EcoSport,2015,Manual,33403,Diesel,30.0,61.4,0.0,ford,8500
2 Series,2019,Manual,152,Petrol,145.0,42.8,1.5,bmw,19480
Focus,2018,Manual,15705,Petrol,,,1.0,ford,12700
E Class,2016,Automatic,35805,Diesel,20.0,72.4,2.0,mercedes,17399
C Class,2014,Semi-Auto,78845,Diesel,30.0,64.2,2.1,mercedes,13100
Yaris,2017,Automatic,15000,Hybrid,0.0,86.0,1.5,toyota,11800
A Class,2016,Manual,21256,Diesel,30.0,62.8,2.1,mercedes,15378
5 Series,2014,Manual,65000,Diesel,125.0,57.6,2.0,bmw,11495
Focus,2015,Manual,45323,Diesel,,,1.6,ford,7990
Golf,2020,Automatic,100,Petrol,145.0,47.1,1.5,vw,28640
Golf SV,2019,Automatic,1900,Petrol,145.0,45.6,1.5,vw,22900
Combo Life,2019,Manual,4960,Diesel,145.0,53.3,1.5,vauxhall,14298
Auris,2013,Automatic,38986,Hybrid,0.0,70.6,1.8,toyota,12300
Focus,2018,Manual,15721,Petrol,,,1.0,ford,16495
A4,2017,Automatic,28367,Petrol,145.0,49.6,1.4,audi,19599
C-MAX,2018,Manual,10703,Petrol,145.0,48.7,1.0,ford,10995
Q2,2017,Automatic,13671,Petrol,145.0,52.3,1.4,audi,20350
C-MAX,2012,Manual,87611,Petrol,200.0,42.8,1.6,ford,5270
Mokka,2014,Manual,44738,Petrol,200.0,43.5,1.6,vauxhall,8334
Polo,2017,Manual,28221,Diesel,145.0,74.3,1.4,vw,11495
TT,2019,Automatic,14311,Petrol,145.0,34.0,2.0,audi,32170
Focus,2019,Manual,14581,Diesel,,,1.5,ford,15140
X1,2016,Semi-Auto,41455,Diesel,125.0,57.6,2.0,bmw,19682
Focus,2019,Manual,4022,Petrol,145.0,60.1,1.0,ford,16360
GLC Class,2017,Semi-Auto,38941,Diesel,145.0,56.5,2.1,mercedes,25995
Corsa,2018,Automatic,7765,Petrol,145.0,39.8,1.4,vauxhall,10499
B Class,2017,Manual,43473,Diesel,145.0,68.9,1.5,mercedes,11900
GLC Class,2016,Semi-Auto,36499,Diesel,145.0,56.5,2.1,mercedes,27480
Q2,2017,Automatic,16991,Diesel,145.0,57.7,2.0,audi,19990
C Class,2019,Semi-Auto,1000,Petrol,,,2.0,mercedes,33599
Octavia,2019,Manual,6487,Diesel,145.0,68.9,1.6,skoda,15495
C-MAX,2014,Manual,39197,Diesel,30.0,61.4,1.6,ford,7470
Kamiq,2019,Automatic,45,Petrol,145.0,43.5,1.5,skoda,21995
Tiguan Allspace,2019,Semi-Auto,6515,Petrol,145.0,35.8,1.5,vw,29990
3 Series,2010,Automatic,55000,Diesel,235.0,44.1,3.0,bmw,9990
Q8,2020,Semi-Auto,1500,Diesel,145.0,32.8,3.0,audi,61795
Golf,2016,Semi-Auto,37482,Petrol,200.0,39.8,2.0,vw,19998
Focus,2017,Manual,29492,Diesel,,,1.5,ford,11298
EcoSport,2018,Manual,15644,Petrol,145.0,54.3,1.0,ford,14500
A Class,2017,Manual,22298,Diesel,145.0,72.4,1.5,mercedes,13499
Aygo,2017,Manual,13255,Petrol,145.0,69.0,1.0,toyota,6799
Aygo,2017,Manual,16669,Petrol,0.0,69.0,1.0,toyota,7200
4 Series,2015,Automatic,36000,Petrol,160.0,46.3,2.0,bmw,15990
Corsa,2016,Manual,5048,Petrol,30.0,55.4,1.4,vauxhall,7637
Focus,2019,Automatic,8418,Diesel,,,2.0,ford,21080
3 Series,2015,Manual,50000,Diesel,30.0,67.3,2.0,bmw,10990
A6,2017,Semi-Auto,34727,Diesel,205.0,47.1,3.0,audi,23998
Fiesta,2018,Manual,60000,Diesel,150.0,85.6,1.5,ford,8500
C Class,2018,Automatic,36926,Diesel,,,2.0,mercedes,21999
C Class,2018,Automatic,23570,Diesel,145.0,61.4,2.1,mercedes,18900
Santa Fe,2018,Semi-Auto,31350,Diesel,145.0,42.8,2.2,hyundai,19099
Focus,2019,Manual,1120,Petrol,,,1.0,ford,17470
Polo,2016,Manual,16921,Petrol,20.0,60.1,1.0,vw,9250
1 Series,2017,Automatic,9020,Diesel,150.0,65.7,2.0,bmw,17500
Aygo,2019,Manual,2850,Petrol,145.0,57.7,1.0,toyota,10390
A5,2015,Manual,13312,Diesel,125.0,57.6,2.0,audi,17998
Polo,2017,Semi-Auto,6317,Petrol,145.0,60.1,1.2,vw,13495
Polo,2016,Manual,12152,Petrol,20.0,60.1,1.2,vw,9564
C Class,2018,Semi-Auto,15900,Petrol,,,2.0,mercedes,20690
S-MAX,2017,Manual,32668,Diesel,125.0,56.5,2.0,ford,15795
Fiesta,2012,Manual,66302,Petrol,145.0,48.7,1.4,ford,4699
Tucson,2017,Manual,21594,Petrol,165.0,44.8,1.6,hyundai,12280
M2,2019,Semi-Auto,1797,Petrol,145.0,29.1,3.0,bmw,42351
Focus,2018,Manual,15000,Petrol,145.0,58.9,1.0,ford,14795
C Class,2011,Automatic,83000,Petrol,235.0,38.2,1.8,mercedes,7995
Corsa,2017,Manual,26033,Petrol,145.0,55.4,1.4,vauxhall,7690
Puma,2020,Manual,1211,Petrol,145.0,49.6,1.0,ford,21991
V Class,2019,Semi-Auto,650,Diesel,145.0,36.7,2.0,mercedes,48890
Focus,2019,Manual,5600,Petrol,,,1.0,ford,15495
Corsa,2020,Manual,10,Petrol,145.0,52.3,1.2,vauxhall,16998
Golf,2017,Semi-Auto,26734,Petrol,30.0,54.3,1.0,vw,14495
S Class,2018,Automatic,2136,Petrol,145.0,40.9,3.0,mercedes,58332
Focus,2018,Manual,23842,Diesel,145.0,74.3,1.5,ford,12800
Octavia,2019,Manual,6966,Petrol,145.0,55.4,1.5,skoda,14250
T-Roc,2018,Manual,13375,Diesel,145.0,50.4,1.6,vw,18990
Fiesta,2017,Manual,102000,Petrol,150.0,65.7,1.0,ford,7393
Fiesta,2018,Manual,5612,Petrol,145.0,65.7,1.0,ford,11999
Aygo,2014,Manual,71017,Petrol,0.0,65.7,1.0,toyota,4600
Aygo,2017,Manual,10967,Petrol,0.0,69.0,1.0,toyota,6490
A3,2016,Manual,64753,Diesel,20.0,70.6,2.0,audi,10999
3 Series,2016,Automatic,36584,Diesel,30.0,62.8,2.0,bmw,16500
Golf,2017,Manual,61000,Diesel,145.0,64.2,2.0,vw,10000
Fiesta,2013,Manual,38321,Petrol,0.0,65.7,1.0,ford,5599
Fiesta,2018,Manual,12553,Petrol,145.0,65.7,1.0,ford,11479
Corsa,2013,Manual,62000,Petrol,125.0,51.4,1.2,vauxhall,3995
SL CLASS,2017,Semi-Auto,18739,Diesel,145.0,70.6,2.1,mercedes,20998
Octavia,2017,Automatic,89550,Diesel,150.0,70.6,1.6,skoda,8795
Focus,2019,Manual,8895,Petrol,145.0,60.1,1.0,ford,15590
I10,2015,Manual,47660,Petrol,20.0,60.1,0.0,hyundai,5300
A3,2017,Manual,23694,Petrol,145.0,60.1,1.4,audi,17250
